point,algorithm,time,coverage,length,rotation
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,10,26.77,1135,1361
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,20,41.3,1690,2050
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,30,55.01,2146,2650
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,40,66.6,2531,3123
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,50,75.77,2868,3586
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,60,80.03,3174,4022
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,70,80.62,3445,4349
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,80,84.55,3716,4696
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,90,86.05,4008,5023
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,100,86.18,4270,5296
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,110,86.37,4492,5485
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,120,86.37,4670,5586
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,130,86.52,4875,5737
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,140,90.04,5104,6042
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,150,91.21,5338,6316
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,160,95.9,5536,6568
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,170,96.74,5751,6787
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,180,98.13,5956,6999
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,190,99.12,6182,7267
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,200,99.2,6399,7461
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,210,99.21,6569,7566
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,220,99.22,6741,7677
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,230,99.22,6886,7752
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,240,99.23,6965,7782
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,250,99.23,7073,7803
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,260,99.23,7188,7850
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,270,99.24,7297,7877
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,280,99.29,7438,7995
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,290,99.31,7631,8138
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,300,99.32,7774,8219
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,310,99.32,7911,8289
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,320,99.33,7999,8313
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,330,99.33,8100,8346
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,340,99.33,8178,8356
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,350,99.33,8259,8369
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,360,99.33,8339,8377
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,370,99.34,8426,8396
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,380,99.34,8503,8405
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,390,99.34,8535,8414
0 - [-12.59000015  11.          -5.29468489],BAstar,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],BAstar,10,23.39,977,737
0 - [-12.59000015  11.          -5.29468489],BAstar,20,35.53,1425,1056
0 - [-12.59000015  11.          -5.29468489],BAstar,30,49.92,1853,1295
0 - [-12.59000015  11.          -5.29468489],BAstar,40,57.35,2150,1456
0 - [-12.59000015  11.          -5.29468489],BAstar,50,60.65,2440,1772
0 - [-12.59000015  11.          -5.29468489],BAstar,60,63.02,2691,2079
0 - [-12.59000015  11.          -5.29468489],BAstar,70,64.88,2923,2290
0 - [-12.59000015  11.          -5.29468489],BAstar,80,76.13,3277,2459
0 - [-12.59000015  11.          -5.29468489],BAstar,90,86.21,3544,2611
0 - [-12.59000015  11.          -5.29468489],BAstar,100,91.43,3826,2905
0 - [-12.59000015  11.          -5.29468489],BAstar,110,95.28,4080,3150
0 - [-12.59000015  11.          -5.29468489],BAstar,120,96.58,4313,3431
0 - [-12.59000015  11.          -5.29468489],BAstar,130,96.83,4423,3571
0 - [-12.59000015  11.          -5.29468489],BAstar,140,96.93,4513,3586
0 - [-12.59000015  11.          -5.29468489],BAstar,150,96.94,4600,3597
0 - [-12.59000015  11.          -5.29468489],BAstar,160,96.95,4692,3625
0 - [-12.59000015  11.          -5.29468489],BAstar,170,96.96,4755,3633
0 - [-12.59000015  11.          -5.29468489],BAstar,180,97.36,4868,3797
0 - [-12.59000015  11.          -5.29468489],BAstar,190,97.39,4954,3866
0 - [-12.59000015  11.          -5.29468489],BAstar,200,97.4,5032,3873
0 - [-12.59000015  11.          -5.29468489],BAstar,210,97.43,5046,3900
0 - [-12.59000015  11.          -5.29468489],BAstar,220,97.44,5164,3923
0 - [-12.59000015  11.          -5.29468489],BAstar,230,97.51,5311,3965
0 - [-12.59000015  11.          -5.29468489],BAstar,240,97.52,5327,3985
0 - [-12.59000015  11.          -5.29468489],BAstar,250,97.57,5453,4005
0 - [-12.59000015  11.          -5.29468489],BAstar,260,97.63,5580,4020
0 - [-12.59000015  11.          -5.29468489],BAstar,270,98.62,5672,4115
0 - [-12.59000015  11.          -5.29468489],BAstar,280,98.63,5713,4122
0 - [-12.59000015  11.          -5.29468489],BAstar,290,98.63,5735,4132
0 - [-12.59000015  11.          -5.29468489],BAstar,300,98.65,5777,4141
0 - [-12.59000015  11.          -5.29468489],BAstar,310,98.65,5777,4141
0 - [-12.59000015  11.          -5.29468489],BAstar,320,98.65,5846,4154
0 - [-12.59000015  11.          -5.29468489],BAstar,330,98.65,5846,4154
0 - [-12.59000015  11.          -5.29468489],BAstar,340,98.69,5859,4163
0 - [-12.59000015  11.          -5.29468489],BAstar,350,98.69,5859,4163
0 - [-12.59000015  11.          -5.29468489],BAstar,360,98.74,5888,4172
0 - [-12.59000015  11.          -5.29468489],BAstar,370,98.74,5888,4172
0 - [-12.59000015  11.          -5.29468489],BAstar,380,98.88,5895,4191
0 - [-12.59000015  11.          -5.29468489],BAstar,390,98.88,5895,4191
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,10,24.6,1069,1682
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,20,37.94,1743,2768
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,30,55.45,2230,3564
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,40,61.07,2569,4036
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,50,62.69,2810,4394
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,60,63.39,2990,4645
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,70,66.54,3214,4969
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,80,71.26,3410,5195
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,90,79.78,3619,5510
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,100,83.19,3776,5723
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,110,87.6,3966,5977
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,120,91.47,4165,6256
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,130,94.96,4343,6540
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,140,97.42,4516,6830
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,150,98.52,4657,7019
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,160,98.83,4776,7200
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,170,98.86,4847,7239
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,180,98.86,4871,7268
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,190,98.94,4949,7275
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,200,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,210,98.94,4952,7279
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,220,98.94,4952,7279
