point,algorithm,time,coverage,length,rotation
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,10,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,20,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,30,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,40,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,50,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,60,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,70,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,80,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,90,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,100,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,110,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,120,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,130,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,140,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,150,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,160,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,170,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,180,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,190,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,200,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,210,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,220,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,230,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,240,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,250,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,260,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,270,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,280,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,290,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,300,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,310,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,320,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,330,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,340,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,350,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,360,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,370,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,380,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],BAstar0.7,390,20.3,704,359
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,10,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,20,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,30,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,40,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,50,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,60,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,70,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,80,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,90,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,100,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,110,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,120,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,130,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,140,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,150,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,160,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,170,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,180,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,190,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,200,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,210,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,220,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,230,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,240,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,250,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,260,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,270,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,280,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,290,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,300,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,310,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,320,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,330,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,340,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,350,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,360,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,370,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,380,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],Inward Spiral0.7,390,20.41,758,843
0 - [-12.59000015  11.          -5.29468489],BAstar Variant0.7,0,0,0,0
