point,algorithm,time,coverage,length,rotation,,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,0,0,0,0,#DIV/0!,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,10,24.95,849,454,2.93875147232038,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,20,40.7,1271,678,3.20220298977183,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,30,47.25,1624,894,2.90948275862069,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,40,49.94,1841,1044,2.71265616512765,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,50,55,2100,1178,2.61904761904762,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,60,55.11,2187,1189,2.519890260631,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,70,55.14,2268,1199,2.43121693121693,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,80,55.17,2340,1210,2.35769230769231,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,90,55.28,2436,1227,2.26929392446634,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,100,63.38,2693,1344,2.3535090976606,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,110,68.97,2983,1499,2.31210191082803,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,120,68.99,3091,1508,2.23196376577159,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,130,72.35,3223,1567,2.24480297859137,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,140,75.43,3372,1655,2.23695136417556,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,150,77.2,3481,1665,2.21775351910371,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,160,85.51,3644,1708,2.34659714599341,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,170,92.52,3863,1887,2.39502976960911,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,180,96.5,4010,2000,2.40648379052369,
0 - [-12.59000015  11.          -5.29468489],BAstar - 0.7,190,96.68,4054,2005,2.38480513073508,2.47843331062563
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,0,0,0,0,#DIV/0!,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,10,26.93,991,1100,2.71745711402624,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,20,45.47,1441,1607,3.15544760582929,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,30,59.89,1798,2024,3.33092324805339,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,40,69.51,2094,2368,3.31948424068768,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,50,73.56,2361,2599,3.1156289707751,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,60,78.17,2612,2861,2.9927258805513,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,70,78.48,2826,2966,2.77707006369427,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,80,78.55,2985,3018,2.63149078726968,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,90,78.64,3147,3098,2.49888782967906,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,100,86.39,3327,3278,2.59663360384731,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,110,93.86,3554,3509,2.64096792346652,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,120,97.86,3723,3659,2.62852538275584,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,130,98.28,3921,3789,2.50650344299923,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,140,98.42,4096,3863,2.40283203125,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,150,98.43,4196,3876,2.34580552907531,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,160,98.48,4343,3921,2.26755698825696,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,170,98.54,4493,3962,2.19318940574227,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,180,98.57,4582,3992,2.15124399825404,
0 - [-12.59000015  11.          -5.29468489],Inward Spiral - 0.7,190,98.6,4697,4021,2.09921226314669,2.65113612154527
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,0,0,0,0,#DIV/0!,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,10,27.42,765,851,3.5843137254902,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,20,38.58,1257,1369,3.06921241050119,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,30,40.34,1469,1560,2.74608577263445,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,40,53.92,1944,2101,2.77366255144033,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,50,61.88,2270,2374,2.72599118942731,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,60,71.9,2572,2776,2.7954898911353,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,70,82.43,2817,3146,2.92616258430955,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,80,91.04,3045,3383,2.98981937602627,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,90,91.33,3159,3470,2.89110477999367,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,100,97.08,3379,3700,2.87303936075762,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,110,97.52,3466,3779,2.8136180034622,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,120,97.55,3515,3788,2.77524893314367,
0 - [-12.59000015  11.          -5.29468489],BAstar Variant - 0.7,130,97.56,3539,3795,2.75671093529246,
