point,algorithm,time,coverage,length,rotation
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,10,28.66,914,951
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,20,45.57,1374,1404
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,30,65.7,1801,1849
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,40,77.62,2053,2114
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,50,81.96,2346,2322
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,60,88.8,2616,2589
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,70,93.56,2833,2724
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,80,96.4,3054,2846
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,90,97.4,3264,2959
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,100,97.52,3461,3011
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,110,97.62,3626,3044
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,120,97.69,3766,3072
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,130,97.77,3908,3095
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,140,97.8,3975,3100
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,150,97.87,4068,3109
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,160,97.96,4234,3140
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,170,97.99,4294,3146
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,180,98.02,4368,3160
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,190,98.08,4448,3174
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,200,98.11,4496,3181
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,210,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,220,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,230,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,240,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,250,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,260,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,270,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,280,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,290,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,300,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,310,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,320,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,330,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,340,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,350,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,360,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,370,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,380,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,390,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,400,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,410,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,420,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,430,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,440,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,450,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,460,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,470,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],BAstar,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],BAstar,10,24.16,772,342
0 - [-12.59000015  11.          -5.29468489],BAstar,20,31.04,1162,553
0 - [-12.59000015  11.          -5.29468489],BAstar,30,53.3,1702,762
0 - [-12.59000015  11.          -5.29468489],BAstar,40,56.71,1924,946
0 - [-12.59000015  11.          -5.29468489],BAstar,50,56.92,1984,966
0 - [-12.59000015  11.          -5.29468489],BAstar,60,64.92,2173,1041
0 - [-12.59000015  11.          -5.29468489],BAstar,70,71.88,2401,1206
0 - [-12.59000015  11.          -5.29468489],BAstar,80,81.91,2649,1307
0 - [-12.59000015  11.          -5.29468489],BAstar,90,87.0,2830,1396
0 - [-12.59000015  11.          -5.29468489],BAstar,100,90.48,3032,1524
0 - [-12.59000015  11.          -5.29468489],BAstar,110,90.91,3121,1562
0 - [-12.59000015  11.          -5.29468489],BAstar,120,91.0,3163,1571
0 - [-12.59000015  11.          -5.29468489],BAstar,130,91.06,3169,1575
0 - [-12.59000015  11.          -5.29468489],BAstar,140,91.09,3172,1580
0 - [-12.59000015  11.          -5.29468489],BAstar,150,91.11,3208,1588
0 - [-12.59000015  11.          -5.29468489],BAstar,160,94.4,3341,1647
