algorithm,max_distance,time,coverage
Random BAstar,2,0,0.03531907991355
Random BAstar,2,5,0.182966038165964
Random BAstar,2,10,0.308130762047968
Random BAstar,2,15,0.48511281887168
Random BAstar,2,20,0.52836144124081
Random BAstar,2,25,0.611104340468811
Random BAstar,2,30,0.65274057577737
Random BAstar,2,35,0.71637769662749
Random BAstar,2,40,0.744697491111705
Random BAstar,2,45,0.76417063772144
Random BAstar,2,50,0.778635652253966
Random BAstar,2,55,0.808274114568035
Random BAstar,2,60,0.813020091272155
Random BAstar,2,65,0.85948208970273
Random BAstar,2,70,0.865002257692594
Random BAstar,2,75,0.870975717748971
Random BAstar,2,80,0.870975717748971
Random BAstar,2,85,0.879520755428326
Random BAstar,2,90,0.882732377942124
Random BAstar,2,95,0.882732377942124
Random BAstar,2,100,0.882732377942124
Random BAstar,2,105,0.888058778917097
Random BAstar,2,110,0.888058778917097
Random BAstar,2,115,0.888058778917097
Random BAstar,2,120,0.888058778917097
Random BAstar,2,125,0.888058778917097
Random BAstar,2,130,0.888058778917097
Random BAstar,2,135,0.888058778917097
Random BAstar,2,140,0.888058778917097
Random BAstar,2,145,0.888058778917097
Random BAstar,2,150,0.888058778917097
Random BAstar,2,155,0.888058778917097
Random BAstar,2,160,0.888058778917097
Random BAstar,2,165,0.888058778917097
Random BAstar,2,170,0.888058778917097
Random BAstar,2,175,0.888058778917097
Random BAstar,2,180,0.888058778917097
Random BAstar,2,185,0.888058778917097
Random BAstar,2,190,0.888058778917097
Random BAstar,2,195,0.888058778917097
Random BAstar,2,0,0.069894655625162
Random BAstar,2,5,0.108999644906602
Random BAstar,2,10,0.241815973942282
Random BAstar,2,15,0.35597893989277
Random BAstar,2,20,0.433249893691174
Random BAstar,2,25,0.512713658821002
Random BAstar,2,30,0.565487552003647
Random BAstar,2,35,0.629634078444954
Random BAstar,2,40,0.712192855170116
Random BAstar,2,45,0.735838568403702
Random BAstar,2,50,0.760950247469412
Random BAstar,2,55,0.793919573537212
Random BAstar,2,60,0.798032519541097
Random BAstar,2,65,0.807273715635946
Random BAstar,2,70,0.812958717104542
Random BAstar,2,75,0.844332314814409
Random BAstar,2,80,0.866121897864617
Random BAstar,2,85,0.866121897864617
Random BAstar,2,90,0.879177936863517
Random BAstar,2,95,0.881089303797746
Random BAstar,2,100,0.881089303797746
Random BAstar,2,105,0.889053917206248
Random BAstar,2,110,0.889053917206248
Random BAstar,2,115,0.893608757216944
Random BAstar,2,120,0.89858707898417
Random BAstar,2,125,0.89858707898417
Random BAstar,2,130,0.90272194433363
Random BAstar,2,135,0.90272194433363
Random BAstar,2,140,0.90272194433363
Random BAstar,2,145,0.90272194433363
Random BAstar,2,150,0.90272194433363
Random BAstar,2,155,0.90272194433363
Random BAstar,2,160,0.90272194433363
Random BAstar,2,165,0.90272194433363
Random BAstar,2,170,0.90272194433363
Random BAstar,2,175,0.90272194433363
Random BAstar,2,180,0.90272194433363
Random BAstar,2,185,0.90272194433363
Random BAstar,2,190,0.90272194433363
Random BAstar,2,195,0.90272194433363
Random BAstar,2,0,0.067104761320246
Random BAstar,2,5,0.131450315419383
Random BAstar,2,10,0.275797973775695
Random BAstar,2,15,0.387102657063071
Random BAstar,2,20,0.51940256631698
Random BAstar,2,25,0.576005330784844
Random BAstar,2,30,0.631522649259784
Random BAstar,2,35,0.668949493443924
Random BAstar,2,40,0.707112827639418
Random BAstar,2,45,0.732680429093109
Random BAstar,2,50,0.732680429093109
Random BAstar,2,55,0.775732654125878
Random BAstar,2,60,0.808463497713812
Random BAstar,2,65,0.819885230306564
Random BAstar,2,70,0.838877028087449
Random BAstar,2,75,0.858913063491576
Random BAstar,2,80,0.877975879952128
Random BAstar,2,85,0.877975879952128
Random BAstar,2,90,0.886598073727911
Random BAstar,2,95,0.895763867273979
Random BAstar,2,100,0.895763867273979
Random BAstar,2,105,0.900629085218032
Random BAstar,2,110,0.904362388156539
Random BAstar,2,115,0.904362388156539
Random BAstar,2,120,0.909543244676887
Random BAstar,2,125,0.909543244676887
Random BAstar,2,130,0.909543244676887
Random BAstar,2,135,0.909543244676887
Random BAstar,2,140,0.909543244676887
Random BAstar,2,145,0.909543244676887
Random BAstar,2,150,0.909543244676887
Random BAstar,2,155,0.909543244676887
Random BAstar,2,160,0.909543244676887
Random BAstar,2,165,0.909543244676887
Random BAstar,2,170,0.909543244676887
