algorithm,max_distance,time,coverage,length,rotation
Random BAstar,0.5,0,0.4490099031603313,1130,363
Random BAstar,0.5,5,0.4490099031603313,2259,726
Random BAstar,0.5,10,0.4490099031603313,3389,1089
Random BAstar,0.5,15,0.4490099031603313,4518,1452
Random BAstar,0.5,20,0.4490099031603313,5648,1815
Random BAstar,0.5,25,0.4490099031603313,6777,2178
Random BAstar,0.5,30,0.5031840041383724,6914,2248
Random BAstar,0.5,35,0.5031840041383724,7051,2318
Random BAstar,0.5,40,0.5031840041383724,7187,2388
Random BAstar,0.5,45,0.5031840041383724,7324,2458
Random BAstar,0.5,50,0.5031840041383724,7461,2528
Random BAstar,0.5,55,0.7644652337259819,8287,2785
Random BAstar,0.5,60,0.7644652337259819,9114,3041
Random BAstar,0.5,65,0.7644652337259819,9940,3298
Random BAstar,0.5,70,0.7644652337259819,10766,3555
Random BAstar,0.5,75,0.7644652337259819,11593,3811
Random BAstar,0.5,80,0.7644652337259819,12419,4068
Random BAstar,0.5,85,0.7644652337259819,13246,4325
Random BAstar,0.5,90,0.9048770543906641,13937,4681
Random BAstar,0.5,95,0.9048770543906641,14627,5038
Random BAstar,0.5,100,0.9048770543906641,15318,5395
Random BAstar,0.5,105,0.9048770543906641,16009,5752
Random BAstar,0.5,110,0.9048770543906641,16700,6109
Random BAstar,0.5,115,0.9048770543906641,17391,6466
Random BAstar,0.5,120,0.9048770543906641,18082,6823
Random BAstar,0.5,125,0.9048770543906641,18773,7180
Random BAstar,0.5,130,0.9048770543906641,19464,7537
Random BAstar,0.5,135,0.9048770543906641,20155,7894
Random BAstar,0.5,140,0.9048770543906641,20845,8251
Random BAstar,0.5,145,0.9048770543906641,21536,8608
Random BAstar,0.5,150,0.9048770543906641,22227,8965
Random BAstar,0.5,155,0.9048770543906641,22918,9322
Random BAstar,0.5,160,0.9048770543906641,23609,9679
Random BAstar,0.5,165,0.9048770543906641,24300,10036
Random BAstar,0.5,170,0.9048770543906641,24991,10392
Random BAstar,0.5,175,0.9048770543906641,25682,10749
Random BAstar,0.5,180,0.9048770543906641,26373,11106
Random BAstar,0.5,185,0.974992657019232,27023,11383
Random BAstar,0.5,190,0.974992657019232,27673,11660
Random BAstar,0.5,195,0.974992657019232,28323,11937
Random BAstar,0.5,0,0.44754656764967626,1121,363
Random BAstar,0.5,5,0.44754656764967626,2242,725
Random BAstar,0.5,10,0.44754656764967626,3362,1088
Random BAstar,0.5,15,0.44754656764967626,4483,1450
Random BAstar,0.5,20,0.44754656764967626,5604,1813
Random BAstar,0.5,25,0.44754656764967626,6725,2175
Random BAstar,0.5,30,0.44754656764967626,7846,2538
Random BAstar,0.5,35,0.44754656764967626,8967,2901
Random BAstar,0.5,40,0.44754656764967626,10087,3263
Random BAstar,0.5,45,0.44754656764967626,11208,3626
Random BAstar,0.5,50,0.6674335515038863,11796,3810
Random BAstar,0.5,55,0.6674335515038863,12383,3995
Random BAstar,0.5,60,0.6674335515038863,12971,4180
Random BAstar,0.5,65,0.6674335515038863,13558,4365
Random BAstar,0.5,70,0.7484860308010644,13815,4455
Random BAstar,0.5,75,0.7484860308010644,14071,4545
Random BAstar,0.5,80,0.7484860308010644,14328,4635
Random BAstar,0.5,85,0.8720962346948169,14952,4959
Random BAstar,0.5,90,0.8720962346948169,15577,5284
Random BAstar,0.5,95,0.8720962346948169,16201,5609
Random BAstar,0.5,100,0.8720962346948169,16825,5934
Random BAstar,0.5,105,0.8720962346948169,17450,6258
Random BAstar,0.5,110,0.8720962346948169,18074,6583
Random BAstar,0.5,115,0.8720962346948169,18698,6908
Random BAstar,0.5,120,0.8720962346948169,19322,7232
Random BAstar,0.5,125,0.8720962346948169,19947,7557
Random BAstar,0.5,130,0.8720962346948169,20571,7882
Random BAstar,0.5,135,0.8720962346948169,21195,8207
Random BAstar,0.5,140,0.8720962346948169,21820,8531
Random BAstar,0.5,145,0.8720962346948169,22444,8856
Random BAstar,0.5,150,0.8720962346948169,23068,9181
Random BAstar,0.5,155,0.8720962346948169,23693,9505
Random BAstar,0.5,160,0.9490725924886787,24504,9783
Random BAstar,0.5,165,0.9490725924886787,25316,10061
Random BAstar,0.5,170,0.9490725924886787,26127,10339
Random BAstar,0.5,175,0.9490725924886787,26938,10617
Random BAstar,0.5,180,0.9490725924886787,27750,10895
Random BAstar,0.5,185,0.9490725924886787,28561,11173
Random BAstar,0.5,190,0.9490725924886787,29373,11451
Random BAstar,0.5,195,0.9490725924886787,30184,11729
Random BAstar,0.5,0,0.1271216830550307,358,151
Random BAstar,0.5,5,0.1271216830550307,715,302
Random BAstar,0.5,10,0.1271216830550307,1073,454
Random BAstar,0.5,15,0.2895317589398051,1546,601
Random BAstar,0.5,20,0.36244076296858085,1719,715
Random BAstar,0.5,25,0.36244076296858085,1892,830
Random BAstar,0.5,30,0.36244076296858085,2065,945
Random BAstar,0.5,35,0.36244076296858085,2238,1059
Random BAstar,0.5,40,0.36244076296858085,2411,1174
Random BAstar,0.5,45,0.36244076296858085,2584,1289
Random BAstar,0.5,50,0.36244076296858085,2756,1403
Random BAstar,0.5,55,0.36244076296858085,2929,1518
Random BAstar,0.5,60,0.5453086024663647,3901,2032
Random BAstar,0.5,65,0.5453086024663647,4874,2547
Random BAstar,0.5,70,0.5453086024663647,5846,3062
Random BAstar,0.5,75,0.5453086024663647,6818,3576
Random BAstar,0.5,80,0.5453086024663647,7790,4091
Random BAstar,0.5,85,0.5453086024663647,8762,4606
Random BAstar,0.5,90,0.5453086024663647,9735,5120
Random BAstar,0.5,95,0.5453086024663647,10707,5635
Random BAstar,0.5,100,0.5453086024663647,11679,6150
Random BAstar,0.5,105,0.5453086024663647,12651,6664
Random BAstar,0.5,110,0.5453086024663647,13623,7179
Random BAstar,0.5,115,0.5453086024663647,14595,7694
Random BAstar,0.5,120,0.5453086024663647,15568,8208
Random BAstar,0.5,125,0.5453086024663647,16540,8723
Random BAstar,0.5,130,0.7417980000789097,17367,9004
Random BAstar,0.5,135,0.7417980000789097,18194,9285
Random BAstar,0.5,140,0.7417980000789097,19021,9566
Random BAstar,0.5,145,0.7417980000789097,19848,9847
Random BAstar,0.5,150,0.7417980000789097,20675,10128
Random BAstar,0.5,155,0.7417980000789097,21502,10409
Random BAstar,0.5,160,0.7417980000789097,22329,10690
Random BAstar,0.5,165,0.8836564975516091,22584,10837
Random BAstar,0.5,170,0.8836564975516091,22838,10984
Random BAstar,0.5,175,0.8836564975516091,23092,11131
Random BAstar,0.5,180,0.8836564975516091,23346,11278
Random BAstar,0.5,185,0.8836564975516091,23600,11425
Random BAstar,0.5,190,0.8836564975516091,23854,11572
Random BAstar,0.5,195,0.8836564975516091,24108,11719
