algorithm,max_distance,time,coverage,length,rotation
Random BAstar,1,0,0.0557338816092306,166,45
Random BAstar,1,5,0.128196607762079,316,78
Random BAstar,1,10,0.307271523701388,462,127
Random BAstar,1,15,0.375184670486478,540,152
Random BAstar,1,20,0.486013265587943,767,232
Random BAstar,1,25,0.520965854043462,870,298
Random BAstar,1,30,0.647379980623299,1035,466
Random BAstar,1,35,0.680643902695641,1169,603
Random BAstar,1,40,0.79337685054075,1320,673
Random BAstar,1,45,0.845851763849738,1466,745
Random BAstar,1,50,0.864508634030222,1506,767
Random BAstar,1,55,0.884377205634149,1556,787
Random BAstar,1,60,0.888776856678167,1585,795
Random BAstar,1,65,0.899375298651083,1605,817
Random BAstar,1,70,0.925308514788982,1660,849
Random BAstar,1,75,0.925308514788982,1714,881
Random BAstar,1,80,0.925308514788982,1769,913
Random BAstar,1,85,0.925308514788982,1824,945
Random BAstar,1,90,0.936995033076292,1993,1015
Random BAstar,1,95,0.936995033076292,2162,1086
Random BAstar,1,100,0.936995033076292,2331,1157
Random BAstar,1,105,0.939106304442175,2387,1192
Random BAstar,1,110,0.94234598371831,2400,1194
Random BAstar,1,115,0.946240613040257,2428,1207
Random BAstar,1,120,0.946240613040257,2457,1220
Random BAstar,1,125,0.946240613040257,2485,1233
Random BAstar,1,130,0.95080597433683,2618,1258
Random BAstar,1,135,0.95080597433683,2750,1283
Random BAstar,1,140,0.95080597433683,2882,1308
Random BAstar,1,145,0.952349096265382,2928,1331
Random BAstar,1,150,0.952349096265382,2974,1354
Random BAstar,1,155,0.952349096265382,3020,1377
Random BAstar,1,160,0.952349096265382,3066,1400
Random BAstar,1,165,0.952349096265382,3112,1423
Random BAstar,1,170,0.952349096265382,3158,1446
Random BAstar,1,175,0.95541955819367,3271,1477
Random BAstar,1,180,0.95541955819367,3385,1508
Random BAstar,1,185,0.95541955819367,3498,1538
Random BAstar,1,190,0.95541955819367,3612,1569
Random BAstar,1,195,0.95541955819367,3725,1600
Random BAstar,2,0,0.0124028425007343,29,6
Random BAstar,2,5,0.0534411180619792,104,36
Random BAstar,2,10,0.176670802116532,195,66
Random BAstar,2,15,0.203633350722681,220,109
Random BAstar,2,20,0.384455676891311,281,173
Random BAstar,2,25,0.541420987335002,366,355
Random BAstar,2,30,0.622732114909977,410,365
Random BAstar,2,35,0.631667316940585,440,390
Random BAstar,2,40,0.702304599993863,705,460
Random BAstar,2,45,0.716378573401313,756,477
Random BAstar,2,50,0.773398682208944,784,516
Random BAstar,2,55,0.80895887492383,862,549
Random BAstar,2,60,0.818222867138079,884,551
Random BAstar,2,65,0.820503355851808,891,556
Random BAstar,2,70,0.827981359788522,921,584
Random BAstar,2,75,0.829074696745854,952,592
Random BAstar,2,80,0.832226698639685,985,612
Random BAstar,2,85,0.86866015808232,1013,654
Random BAstar,2,90,0.871151949287402,1025,663
Random BAstar,2,95,0.877695312328755,1039,665
Random BAstar,2,100,0.880652670433872,1065,693
Random BAstar,2,105,0.89171317221153,1077,712
Random BAstar,2,110,0.89171317221153,1090,731
Random BAstar,2,115,0.896811611992512,1109,753
Random BAstar,2,120,0.901066595355729,1123,767
Random BAstar,2,125,0.905495179935908,1139,771
Random BAstar,2,130,0.909559903379525,1197,802
Random BAstar,2,135,0.909559903379525,1255,832
Random BAstar,2,140,0.909559903379525,1313,863
Random BAstar,2,145,0.909559903379525,1371,894
Random BAstar,2,150,0.909559903379525,1429,925
Random BAstar,2,155,0.909559903379525,1487,955
Random BAstar,2,160,0.909559903379525,1545,986
Random BAstar,2,165,0.909559903379525,1603,1017
Random BAstar,2,170,0.909559903379525,1661,1048
Random BAstar,2,175,0.909559903379525,1719,1079
Random BAstar,2,180,0.909559903379525,1777,1109
Random BAstar,2,185,0.909559903379525,1835,1140
Random BAstar,2,190,0.909559903379525,1894,1171
Random BAstar,2,195,0.909559903379525,1952,1202
Random BAstar,3,0,0.0374443796606009,82,28
Random BAstar,3,5,0.122551937889342,148,54
Random BAstar,3,10,0.265593203249324,245,100
Random BAstar,3,15,0.3683169011306,298,124
Random BAstar,3,20,0.496593295310575,331,146
Random BAstar,3,25,0.596947073548172,369,155
Random BAstar,3,30,0.646874082127404,387,165
Random BAstar,3,35,0.701098159213359,428,174
Random BAstar,3,40,0.754967142900981,470,182
Random BAstar,3,45,0.773534582151515,490,199
Random BAstar,3,50,0.794784949300554,532,220
Random BAstar,3,55,0.801783357956065,566,264
Random BAstar,3,60,0.8229346496631,574,271
Random BAstar,3,65,0.845959607029972,612,291
Random BAstar,3,70,0.852070720576566,638,309
Random BAstar,3,75,0.853932111402882,661,317
Random BAstar,3,80,0.853932111402882,683,326
Random BAstar,3,85,0.870354961882258,701,337
Random BAstar,3,90,0.873972530676124,719,343
Random BAstar,3,95,0.879433078046022,739,389
Random BAstar,3,100,0.882059892419852,754,395
Random BAstar,3,105,0.882059892419852,769,401
Random BAstar,3,110,0.888493658733325,788,412
Random BAstar,3,115,0.888493658733325,807,422
Random BAstar,3,120,0.888493658733325,826,433
Random BAstar,3,125,0.888493658733325,845,443
Random BAstar,3,130,0.888493658733325,864,453
Random BAstar,3,135,0.888493658733325,883,464
Random BAstar,3,140,0.888493658733325,902,474
Random BAstar,3,145,0.888493658733325,921,484
Random BAstar,3,150,0.888493658733325,940,495
Random BAstar,3,155,0.888493658733325,959,505
Random BAstar,3,160,0.888493658733325,978,515
Random BAstar,3,165,0.888493658733325,997,526
Random BAstar,3,170,0.888493658733325,1016,536
Random BAstar,3,175,0.888493658733325,1035,546
Random BAstar,3,180,0.888493658733325,1054,557
Random BAstar,3,185,0.888493658733325,1073,567
Random BAstar,3,190,0.888493658733325,1092,577
Random BAstar,3,195,0.888493658733325,1111,588
Random BAstar,4,0,0.052016360599538,126,38
Random BAstar,4,5,0.122579117877857,231,54
Random BAstar,4,10,0.264020271010789,303,82
Random BAstar,4,15,0.356526923532171,355,95
Random BAstar,4,20,0.418393838033572,442,121
Random BAstar,4,25,0.504490397134703,455,125
Random BAstar,4,30,0.576064951404811,612,173
Random BAstar,4,35,0.642472677535739,619,173
