point,algorithm,time,coverage,length,rotation
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,10,25.76,994,1109
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,20,43.68,1593,1780
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,30,57.75,2032,2303
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,40,69.59,2384,2735
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,50,72.44,2726,3101
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,60,76.28,3018,3419
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,70,76.99,3276,3670
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,80,79.46,3521,3896
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,90,81.46,3777,4167
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,100,82.06,4025,4410
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,110,82.14,4256,4580
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,120,82.16,4488,4723
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,130,82.16,4676,4787
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,140,82.17,4863,4861
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,150,82.18,5020,4908
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,160,82.2,5175,4979
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,170,87.0,5412,5265
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,180,93.08,5631,5532
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,190,95.65,5857,5786
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,200,96.79,6079,5971
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,210,98.51,6310,6208
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,220,98.52,6512,6330
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,230,98.54,6678,6436
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,240,99.08,6895,6648
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,250,99.12,7062,6760
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,260,99.13,7254,6858
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,270,99.13,7383,6900
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,280,99.14,7508,6939
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,290,99.15,7598,6947
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,300,99.15,7598,6947
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,310,99.15,7681,6959
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,320,99.16,7773,6985
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,330,99.16,7875,6999
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,340,99.16,7972,7012
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,350,99.16,8000,7015
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,360,99.17,8021,7019
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,370,99.17,8127,7026
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,380,99.17,8151,7032
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,390,99.17,8198,7046
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,400,99.17,8271,7051
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,410,99.17,8330,7065
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,420,99.17,8421,7079
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,430,99.18,8506,7091
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,440,99.18,8600,7100
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,450,99.18,8619,7103
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,460,99.18,8619,7103
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,470,99.18,8619,7103
0 - [-12.59000015  11.          -5.29468489],BAstar,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],BAstar,10,33.23,997,428
0 - [-12.59000015  11.          -5.29468489],BAstar,20,40.75,1532,758
0 - [-12.59000015  11.          -5.29468489],BAstar,30,46.65,1924,1012
0 - [-12.59000015  11.          -5.29468489],BAstar,40,52.94,2218,1226
0 - [-12.59000015  11.          -5.29468489],BAstar,50,65.63,2593,1471
0 - [-12.59000015  11.          -5.29468489],BAstar,60,69.95,2811,1597
0 - [-12.59000015  11.          -5.29468489],BAstar,70,76.67,3078,1745
0 - [-12.59000015  11.          -5.29468489],BAstar,80,79.12,3291,1873
0 - [-12.59000015  11.          -5.29468489],BAstar,90,79.43,3409,1975
0 - [-12.59000015  11.          -5.29468489],BAstar,100,80.8,3566,2026
0 - [-12.59000015  11.          -5.29468489],BAstar,110,87.49,3888,2168
0 - [-12.59000015  11.          -5.29468489],BAstar,120,88.64,4055,2289
0 - [-12.59000015  11.          -5.29468489],BAstar,130,88.84,4189,2405
0 - [-12.59000015  11.          -5.29468489],BAstar,140,91.35,4363,2549
0 - [-12.59000015  11.          -5.29468489],BAstar,150,91.37,4447,2576
0 - [-12.59000015  11.          -5.29468489],BAstar,160,91.86,4528,2654
0 - [-12.59000015  11.          -5.29468489],BAstar,170,91.88,4631,2663
0 - [-12.59000015  11.          -5.29468489],BAstar,180,92.25,4669,2705
0 - [-12.59000015  11.          -5.29468489],BAstar,190,95.73,4864,2809
0 - [-12.59000015  11.          -5.29468489],BAstar,200,98.51,5028,2929
0 - [-12.59000015  11.          -5.29468489],BAstar,210,98.52,5058,2939
0 - [-12.59000015  11.          -5.29468489],BAstar,220,98.52,5089,2942
0 - [-12.59000015  11.          -5.29468489],BAstar,230,98.52,5089,2942
0 - [-12.59000015  11.          -5.29468489],BAstar,240,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,250,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,260,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,270,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,280,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,290,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,300,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,310,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,320,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,330,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,340,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,350,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,360,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,370,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,380,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,390,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,400,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,410,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,420,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,430,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,440,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,450,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,460,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar,470,98.57,5107,2966
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,10,29.02,1059,1577
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,20,48.48,1650,2353
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,30,54.24,1979,2818
