point,algorithm,time,coverage,length,rotation
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,0,0,0,0
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,10,28.9,952,981
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,20,46.11,1392,1424
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,30,66.41,1812,1865
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,40,79.33,2106,2161
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,50,81.99,2388,2344
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,60,88.94,2660,2610
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,70,93.65,2875,2746
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,80,97.11,3092,2882
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,90,97.44,3321,2973
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,100,97.54,3503,3023
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,110,97.63,3676,3055
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,120,97.72,3826,3085
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,130,97.79,3948,3098
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,140,97.82,4012,3104
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,150,97.93,4151,3116
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,160,97.96,4234,3140
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,170,98,4331,3155
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,180,98.05,4439,3170
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,190,98.11,4496,3181
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,200,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,210,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,220,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,230,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,240,98.14,4521,3182
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,250,98.14,4521,3182
