algorithm,max_distance,time,coverage,length,rotation
Random BAstar0,2,0,87.18174206190899,10,1
Random BAstar0,2,5,89.71781034505433,19,3
Random BAstar0,2,10,91.2494465365242,25,5
Random BAstar0,2,15,92.38162457421672,67,36
Random BAstar0,2,20,93.60218141327172,74,43
Random BAstar0,2,25,94.0663454751895,76,43
Random BAstar0,2,30,94.81511032006628,80,45
Random BAstar0,2,35,95.26436922699236,82,45
Random BAstar0,2,40,95.41754161387757,85,45
Random BAstar0,2,45,95.53380182281278,87,45
Random BAstar0,2,50,95.63270191005178,89,45
Random BAstar0,2,55,95.98481427738493,98,56
Random BAstar0,2,60,96.11273557816658,100,56
Random BAstar0,2,65,96.31264000981987,105,57
Random BAstar0,2,70,96.44538356662824,108,57
Random BAstar0,2,75,96.55278835995072,109,57
Random BAstar0,2,80,96.69552713834176,118,61
Random BAstar0,2,85,96.75172834039867,119,61
Random BAstar0,2,90,96.76198659412825,120,61
Random BAstar0,2,95,96.77452445979773,122,61
Random BAstar0,2,100,96.78504574567421,124,61
Random BAstar0,2,105,96.80126606140047,124,61
Random BAstar0,2,110,96.80906934842554,127,61
Random BAstar0,2,115,96.80977076748397,129,61
Random BAstar0,2,120,96.82265934268266,129,61
Random BAstar0,2,125,96.8514175240784,131,61
Random BAstar0,2,130,96.8920998294675,133,61
Random BAstar0,2,135,96.90428698560775,135,61
Random BAstar0,2,140,96.92226084898009,137,62
Random BAstar0,2,145,96.93164232888662,138,62
Random BAstar0,2,150,96.94891477320053,141,63
Random BAstar0,2,155,96.99661126917395,144,65
Random BAstar0,2,160,97.00599274908048,145,65
Random BAstar0,2,165,97.00599274908048,145,65
Random BAstar0,2,170,97.00599274908048,145,65
Random BAstar0,2,175,97.00599274908048,145,65
Random BAstar0,2,180,97.00599274908048,145,65
Random BAstar0,2,185,97.00599274908048,145,65
Random BAstar0,2,190,97.00599274908048,145,65
Random BAstar0,2,195,97.00599274908048,145,65
