Start point,Algorithm,Coverage efficiency,Number of waypoints,Length of path,Total rotation,Visits per point,Computational time,Memory consumption
0 - [-12.59000015  11.          -5.29468489],Random BAstar,98.07,7740,4558,2254,4.87445012356323,264.9,9878
1 - [ 26.05999947 -11.         -10.37468719],Random BAstar,98.19,7381,4513,2322,4.75887845300419,222.5,24160
2 - [  1.59000003 -12.5         -5.66468811],Random BAstar,98.11,7446,4490,2088,4.65851156542442,275.2,24164
3 - [16.5         8.69999981 -5.3346858 ],Random BAstar,98.36,7472,4636,2615,4.82063268511034,278.9,24216
4 - [-0.91000003  4.         -5.41468811],Random BAstar,98.19,8034,4814,2281,5.05833519144496,326,24222
5 - [-20.28000069   4.5         -5.51468706],Random BAstar,98.26,7605,4541,2187,4.79123078047016,260.4,24230
6 - [ 17.5        -13.5        -10.37468719],Random BAstar,98.22,7403,4537,2470,4.73696845971437,222.7,24187
7 - [-10.84000015 -20.70000076  -9.66468811],Random BAstar,98.08,7763,4619,2696,4.86595030197646,334.2,24215
8 - [ 18.96999931 -11.          -5.75468397],Random BAstar,98.25,7392,4511,2367,4.63279078681131,224.4,24223
9 - [ 23.05999947 -10.5        -10.35468674],Random BAstar,98.18,7862,4716,2631,4.91697574689561,389,24236
,,,,,,,,
,,98.191,7609.8,4593.5,2391.1,4.8114724094415,279.82,22773.1
,,0.089000624217538,229.096680222322,103.971417012348,204.578944284216,0.126113247010632,55.0268984729791,4530.95529417117
