Start point,Algorithm,Coverage efficiency,Number of waypoints,Length of path,Total rotation,Visits per point,Computational time,Memory consumption
0 - [-12.59000015  11.          -5.29468489],Random BAstar,98.23,7708,4718,2374,4.8140848835914,218.4,9867
1 - [ 26.05999947 -11.         -10.37468719],Random BAstar,98.28,7804,4770,2537,5.00014160319756,318.1,24170
2 - [  1.59000003 -12.5         -5.66468811],Random BAstar,98.09,7920,4766,2529,4.96949728745806,224,24181
3 - [16.5         8.69999981 -5.3346858 ],Random BAstar,98.28,7506,4551,2352,4.68385967286923,236.4,24199
4 - [-0.91000003  4.         -5.41468811],Random BAstar,98.2,7436,4601,2291,4.839524527683,258,24204
5 - [-20.28000069   4.5         -5.51468706],Random BAstar,98.4,7655,4659,2207,4.81567165972124,200.4,24228
6 - [ 17.5        -13.5        -10.37468719],Random BAstar,98.14,7914,4798,2180,4.96290049988311,246.6,24215
7 - [-10.84000015 -20.70000076  -9.66468811],Random BAstar,98.27,7888,4821,2345,4.89669728088388,180.2,24220
8 - [ 18.96999931 -11.          -5.75468397],Random BAstar,98.22,7334,4391,2248,4.64052225819795,186.2,24236
9 - [ 23.05999947 -10.5        -10.35468674],Random BAstar,98.13,7523,4606,2405,4.73937427421124,250.3,24236
,,,,,,,,
,,98.224,7668.8,4668.1,2346.8,4.83622739476967,231.86,22775.6
,,0.090578388396155,212.21781263598,134.018613964214,121.916000226021,0.122995964232419,40.393651866489,4535.67359201843
