Start point,Algorithm,Coverage efficiency,Number of waypoints,Length of path,Total rotation,Visits per point,Computational time,Memory consumption,
0 - [-12.59000015  11.          -5.29468489],Random BAstar,98.16,7805,4723,2244,4.89988401833241,165.1,9883,139.1
1 - [ 26.05999947 -11.         -10.37468719],Random BAstar,98.29,7468,4626,2270,4.81728695410579,179.7,24165,153.7
2 - [  1.59000003 -12.5         -5.66468811],Random BAstar,98.21,8122,5013,2242,5.12753954362186,203.1,24192,177.1
3 - [16.5         8.69999981 -5.3346858 ],Random BAstar,98.39,7746,4829,2495,5.0620323254512,233.1,24211,207.1
4 - [-0.91000003  4.         -5.41468811],Random BAstar,98.08,7691,4681,2656,4.82665927435735,215.8,24187,189.8
5 - [-20.28000069   4.5         -5.51468706],Random BAstar,98.59,7759,4826,2063,4.91260844768127,170.4,24242,144.4
6 - [ 17.5        -13.5        -10.37468719],Random BAstar,98.21,7858,4892,2167,4.97199382296665,215.4,24211,189.4
7 - [-10.84000015 -20.70000076  -9.66468811],Random BAstar,98.21,7858,4812,2115,4.94250783011525,183.8,24216,157.8
8 - [ 18.96999931 -11.          -5.75468397],Random BAstar,98.2,7727,4788,2375,4.91408572088086,197.2,24215,171.2
9 - [ 23.05999947 -10.5        -10.35468674],Random BAstar,98.46,8177,5044,2261,5.08333199950915,195.6,24252,169.6
,,,,,,,,,
,,98.28,7821.1,4823.4,2288.8,4.95579299370218,195.92,22777.4,169.92
,,0.154991039167504,205.519639504896,133.360163967106,178.305480690988,0.105450614605995,21.6575775807607,4530.70058845453,21.6575775807607
