Start point,Algorithm,Coverage efficiency,Number of waypoints,Length of path,Total rotation,Visits per point,Computational time,Memory consumption,
0 - [-12.59000015  11.          -5.29468489],Random BAstar,98.13,7597,4607,2369,4.69704615225399,173,9864,147
1 - [ 26.05999947 -11.         -10.37468719],Random BAstar,98.17,8065,4910,2386,4.97956137114297,270.4,24176,244.4
2 - [  1.59000003 -12.5         -5.66468811],Random BAstar,98.15,7658,4683,2437,4.86591855952517,262.3,24181,236.3
3 - [16.5         8.69999981 -5.3346858 ],Random BAstar,98.21,7707,4717,2358,4.79369569051993,270.1,24196,244.1
4 - [-0.91000003  4.         -5.41468811],Random BAstar,98.07,7767,4799,2434,4.99997857716683,250.4,24193,224.4
5 - [-20.28000069   4.5         -5.51468706],Random BAstar,98.09,7242,4460,2115,4.52900086657665,191.1,24187,165.1
6 - [ 17.5        -13.5        -10.37468719],Random BAstar,98.17,7673,4757,2595,4.95890657587479,259.3,24193,233.3
7 - [-10.84000015 -20.70000076  -9.66468811],Random BAstar,98.14,7454,4613,2054,4.77840260442799,254.9,24208,228.9
8 - [ 18.96999931 -11.          -5.75468397],Random BAstar,98.36,8044,4964,1982,5.0895021726851,222.7,24246,196.7
9 - [ 23.05999947 -10.5        -10.35468674],Random BAstar,98.24,7750,4741,2331,4.87124022637045,217,24204,191
,,,,,,,,,
,,98.173,7695.7,4725.1,2306.1,4.85632527965439,237.12,22764.8,211.12
,,0.082872056676408,245.355999858709,147.807269404752,193.13924165396,0.164498496154972,34.4087779498197,4532.92058905367,34.4087779498197
