Start point,Algorithm,Coverage efficiency,Number of waypoints,Length of path,Total rotation,Visits per point,Computational time,Memory consumption,Real Comp time
0 - [-12.59000015  11.          -5.29468489],Random BAstar,98.38,7824,4833,2048,5.26386062846449,153,9942,127
1 - [ 26.05999947 -11.         -10.37468719],Random BAstar,98.46,7947,4905,2449,5.04051789212003,204.5,24205,178.5
2 - [  1.59000003 -12.5         -5.66468811],Random BAstar,98.43,7892,4873,2041,5.05456557180937,187.8,24198,161.8
3 - [16.5         8.69999981 -5.3346858 ],Random BAstar,98.43,7938,4848,2511,4.95471976597892,240.7,24220,214.7
4 - [-0.91000003  4.         -5.41468811],Random BAstar,98.07,7966,4831,2034,5.04851881019092,189.5,24198,163.5
5 - [-20.28000069   4.5         -5.51468706],Random BAstar,98.15,7816,4943,2082,5.1498533551695,198.2,24197,172.2
6 - [ 17.5        -13.5        -10.37468719],Random BAstar,98.2,7985,4960,2454,5.12593791090014,219.7,24217,193.7
7 - [-10.84000015 -20.70000076  -9.66468811],Random BAstar,98.34,8328,5151,2416,5.26018185734452,280.3,24259,254.3
8 - [ 18.96999931 -11.          -5.75468397],Random BAstar,98.3,7896,4875,2344,4.96344057881225,184.8,24249,158.8
9 - [ 23.05999947 -10.5        -10.35468674],Random BAstar,98.3,7721,4821,1982,4.94003302665723,180.6,24251,154.6
,,,,,,,,,
,,98.306,7931.3,4904,2236.1,5.08016293974474,203.91,22793.6,177.91
,,0.130145218036538,161.098348153474,98.8062076322468,214.731589561377,0.118005909188546,35.65072696781,4515.65386430606,35.65072696781
