point,algorithm,coverage,Number of waypoints,length,rotation,Visits per point,time,Memory consumption,,Max dist
0 - [-12.59000015  11.          -5.29468489],Random BAstar,98.14,7801,4811,2237,4.86201798276629,178.4,9853,,5.5
1 - [ 26.05999947 -11.         -10.37468719],Random BAstar,98.37,8073,5121,2201,5.24874246435166,254.5,24178,,5.5
2 - [  1.59000003 -12.5         -5.66468811],Random BAstar,98.54,7816,4878,2052,4.88114905880733,172.2,24182,,5.5
3 - [16.5         8.69999981 -5.3346858 ],Random BAstar,98.31,7618,4889,1963,5.08080720850334,172.2,24209,,5.5
4 - [-0.91000003  4.         -5.41468811],Random BAstar,98.47,8184,5115,2241,5.16508029690509,201.7,24243,,5.5
5 - [-20.28000069   4.5         -5.51468706],Random BAstar,98.42,7587,4649,2077,4.7797453285621,169.3,24228,,5.5
6 - [ 17.5        -13.5        -10.37468719],Random BAstar,98.33,8168,5192,2416,5.30554875252145,309.7,24238,,5.5
7 - [-10.84000015 -20.70000076  -9.66468811],Random BAstar,98.47,8132,5070,2187,5.20563912413377,194.4,24177,,5.5
8 - [ 18.96999931 -11.          -5.75468397],Random BAstar,98.33,7980,4962,2296,4.96131579017653,182.1,24193,,5.5
9 - [ 23.05999947 -10.5        -10.35468674],Random BAstar,98.22,8082,5074,1961,5.17343796952758,153.3,24225,,5.5
0 - [-12.59000015  11.          -5.29468489],Random BAstar,98.23,7708,4718,2374,4.8140848835914,218.4,9867,,3
1 - [ 26.05999947 -11.         -10.37468719],Random BAstar,98.28,7804,4770,2537,5.00014160319756,318.1,24170,,3
2 - [  1.59000003 -12.5         -5.66468811],Random BAstar,98.09,7920,4766,2529,4.96949728745806,224,24181,,3
3 - [16.5         8.69999981 -5.3346858 ],Random BAstar,98.28,7506,4551,2352,4.68385967286923,236.4,24199,,3
4 - [-0.91000003  4.         -5.41468811],Random BAstar,98.2,7436,4601,2291,4.839524527683,258,24204,,3
5 - [-20.28000069   4.5         -5.51468706],Random BAstar,98.4,7655,4659,2207,4.81567165972124,200.4,24228,,3
6 - [ 17.5        -13.5        -10.37468719],Random BAstar,98.14,7914,4798,2180,4.96290049988311,246.6,24215,,3
