Start point,Algorithm,Coverage efficiency,Number of waypoints,Length of path,Total rotation,Visits per point,Computational time,Memory consumption
0 - [ -2.77999997 -25.         -10.45468521],Naive RRT CPP with Deep First Search,80.18,9049,3082,13867,6.893979578020259,323.1,8089.9
0 - [ -2.77999997 -25.         -10.45468521],Inward Spiral,99.0,7896,5789,6985,6.342475438427281,199.1,24069.4
0 - [ -2.77999997 -25.         -10.45468521],BAstar,98.74,7842,5679,4217,5.869934138144113,332.1,24139.5
0 - [ -2.77999997 -25.         -10.45468521],BAstar Variant,99.0,7988,5765,8126,6.162629705758529,210.7,24039.5
1 - [18.59000015  5.5        -5.40468597],Naive RRT CPP with Deep First Search,80.03,8974,3082,13707,6.760248366858547,282.0,22379.9
1 - [18.59000015  5.5        -5.40468597],Inward Spiral,99.0,7812,5682,6911,6.0559611695840205,217.1,24053.9
1 - [18.59000015  5.5        -5.40468597],BAstar,98.78,7757,5172,4019,5.479370063940478,337.7,24146.0
1 - [18.59000015  5.5        -5.40468597],BAstar Variant,99.04,8102,6271,8167,6.679394770025511,281.5,24179.7
2 - [-18.53000069  -8.30000019  -7.36468506],Naive RRT CPP with Deep First Search,79.8,8676,2983,13057,6.6553518964144205,225.4,22479.5
2 - [-18.53000069  -8.30000019  -7.36468506],Inward Spiral,99.01,7724,5499,6853,5.8482513856543195,190.6,24170.6
2 - [-18.53000069  -8.30000019  -7.36468506],BAstar,98.71,7815,5281,4253,5.496893203539069,337.1,24183.4
2 - [-18.53000069  -8.30000019  -7.36468506],BAstar Variant,99.0,8029,6060,8315,6.533624188437316,239.8,24041.0
3 - [18.09000015 13.         -5.32468796],Naive RRT CPP with Deep First Search,79.2,8988,3054,13778,6.838258784637949,264.2,22325.3
3 - [18.09000015 13.         -5.32468796],Inward Spiral,99.06,8019,6078,7293,6.325758600956482,235.2,24074.4
3 - [18.09000015 13.         -5.32468796],BAstar,98.6,7711,5246,4110,5.475181869426851,368.9,24150.1
3 - [18.09000015 13.         -5.32468796],BAstar Variant,99.0,8069,6176,8123,6.666087580773641,270.1,24189.3
4 - [-11.38000011 -23.70000076  -9.67468643],Naive RRT CPP with Deep First Search,77.02,8173,2855,12297,6.5592277079616546,199.8,22233.6
4 - [-11.38000011 -23.70000076  -9.67468643],Inward Spiral,99.04,7809,5634,7021,5.949663699342612,199.9,24189.3
4 - [-11.38000011 -23.70000076  -9.67468643],BAstar,98.73,7826,5363,4287,5.58723259364875,337.3,24062.1
4 - [-11.38000011 -23.70000076  -9.67468643],BAstar Variant,99.0,8246,6487,8290,6.738624165524559,270.2,24098.0
5 - [22.21999931 -3.29999995 -5.69468689],Naive RRT CPP with Deep First Search,79.14,8831,3048,13349,6.642716621300949,268.5,22356.5
5 - [22.21999931 -3.29999995 -5.69468689],Inward Spiral,99.05,8095,6253,7275,6.536462957787832,251.2,24114.4
5 - [22.21999931 -3.29999995 -5.69468689],BAstar,98.8,7846,5262,4194,5.5175551547967725,334.5,24198.9
5 - [22.21999931 -3.29999995 -5.69468689],BAstar Variant,99.0,8095,6110,8129,6.517731480826626,254.0,24197.8
6 - [-2.22000003 10.69999981 -5.32468796],Naive RRT CPP with Deep First Search,79.57,9057,3063,13834,6.844796977298286,244.6,22351.8
6 - [-2.22000003 10.69999981 -5.32468796],Inward Spiral,87.11,6904,5217,5976,6.18853937691183,328.7,22971.6
6 - [-2.22000003 10.69999981 -5.32468796],BAstar,98.79,7799,5354,4132,5.58798460123254,331.8,24161.1
6 - [-2.22000003 10.69999981 -5.32468796],BAstar Variant,99.05,7939,5832,7943,6.287060210469757,247.1,24182.5
7 - [  1.94000006 -20.29999924 -10.42468643],Naive RRT CPP with Deep First Search,76.2,8122,2829,12330,6.556138842274788,194.6,22036.8
7 - [  1.94000006 -20.29999924 -10.42468643],Inward Spiral,99.03,8305,6816,7594,7.190006430970564,284.3,24092.8
7 - [  1.94000006 -20.29999924 -10.42468643],BAstar,98.73,7764,5269,4256,5.478501579846777,330.3,24135.0
7 - [  1.94000006 -20.29999924 -10.42468643],BAstar Variant,99.0,8245,6675,8550,7.023123922754,329.9,24169.5
8 - [-2.58999991  7.69999981 -5.36468506],Naive RRT CPP with Deep First Search,79.62,9017,3096,13632,6.765593568972126,245.9,22461.4
8 - [-2.58999991  7.69999981 -5.36468506],Inward Spiral,99.0,7784,5593,7007,5.905971130524962,210.7,24057.3
8 - [-2.58999991  7.69999981 -5.36468506],BAstar,98.61,7819,5551,4139,5.78755571184621,349.3,24148.3
8 - [-2.58999991  7.69999981 -5.36468506],BAstar Variant,99.0,7995,6029,8239,6.436590328133966,268.1,24185.1
9 - [ 16.96999931 -14.         -10.37468719],Naive RRT CPP with Deep First Search,78.04,8394,2899,12720,6.567431909452778,220.0,22328.7
9 - [ 16.96999931 -14.         -10.37468719],Inward Spiral,99.16,8130,6129,7215,6.396882120073538,228.2,24204.6
9 - [ 16.96999931 -14.         -10.37468719],BAstar,98.68,7790,5299,4214,5.526083584600614,330.0,24112.3
9 - [ 16.96999931 -14.         -10.37468719],BAstar Variant,99.0,8312,6497,8672,6.844009208848841,263.3,24151.5
